Lon,Lat,TOCflux
-169,0,141.2441241
-169,1,118.9293527
-169,3,109.8964095
-169,5,154.1098101
-169,7,135.9387284
-169,9,137.6366694
-169,11,105.9635495
-169,13,93.64139483
-169,15,108.6014319
-169,17,119.6438705
-169,19,85.80557978
-169,21,64.2286561
-169,23,55.85415355
-169,25,43.7708246
-169,27,57.46393676
-169,29,45.49790051
-169,31,44.57265964
-169,33,97.28958215
-169,35,139.6720146
-169,37,160.666634
-169,39,165.9168809
-169,41,152.861423
-169,43,149.4671366
-169,45,141.2830539
-169,47,134.5686561
-169,49,126.0353433
-169,51,135.225161
-169,53,141.6688906
-169,55,227.4582547
-169,57,172.0221197
-169,59,150.5317679
-169,61,143.6940943
-169,63,163.0495326
-169,65,213.3516811
-169,67,155.4579104
-169,69,71.34913206
-169,71,69.11012059
-169,73,40.68176473
-169,75,29.39961541
-169,77,21.1417441
-169,79,20.03886681
-169,81,23.35972491
-169,83,5.486869255
-169,85,6.275375104
-169,87,7.072429291
-169,89,0
-167,-90,0
-167,-88,0
-167,-86,0
-167,-84,0
-167,-82,0
-167,-80,0
-167,-78,58.58039307
-167,-76,66.98092732
-167,-74,94.4743521
-167,-72,69.34534253
-167,-70,73.40622135
-167,-68,86.34902222
-167,-66,106.2839835
-167,-64,114.5411256
-167,-62,98.98081454
-167,-60,96.19631929
-167,-58,95.47218073
-167,-56,102.7895332
-167,-54,113.793979
-167,-52,127.8372576
-167,-50,143.480667
-167,-48,132.1649001
-167,-46,139.1366334
-167,-44,134.5290934
-167,-42,123.0185555
-167,-40,114.9300332
-167,-38,96.65654613
-167,-36,91.68583242
-167,-34,98.43244629
-167,-32,103.5980589
-167,-30,94.18209246
-167,-28,89.61694289
-167,-26,106.741624
-167,-24,91.44751087
-167,-22,62.44785694
-167,-20,77.02110037
-167,-18,106.4567171
-167,-16,105.7542989
-167,-14,113.0047572
-167,-12,124.3360085
-167,-10,138.0532435
-167,-8,135.2492603
-167,-6,129.1625026
-167,-4,136.5063993
-167,-2,146.4767395
-167,0,142.2048893
-167,1,118.7314703
-167,3,113.8131844
-167,5,143.8126008
-167,7,130.6737474
-167,9,144.7895863
-167,11,99.45877194
-167,13,76.63384885
-167,15,102.9298184
-167,17,119.9559039
-167,19,83.86058942
-167,21,55.20385819
-167,23,41.97378278
-167,25,38.78861547
-167,27,53.3870671
-167,29,49.53663757
-167,31,35.3869155
-167,33,79.08374956
-167,35,121.9723913
-167,37,150.5211665
-167,39,156.853908
-167,41,150.5106423
-167,43,142.4707303
-167,45,138.6547304
-167,47,135.0618035
-167,49,128.5847706
-167,51,142.3682743
-167,53,149.364669
-167,55,196.5046168
-167,57,148.2839238
-167,59,136.9475469
-167,61,156.5702624
-167,63,165.6110405
-167,65,166.0597898
-167,67,93.65697896
-167,69,66.87483313
-167,71,59.40471582
-167,73,45.4051977
-167,75,32.0641431
-167,77,21.58690127
-167,79,21.23936933
-167,81,4.909790591
-167,83,5.480039993
-167,85,6.229380085
-167,87,7.037181068
-167,89,0
-165,-90,0
-165,-88,0
-165,-86,0
-165,-84,0
-165,-82,0
-165,-80,0
-165,-78,63.63686997
-165,-76,67.86883682
-165,-74,58.81919849
-165,-72,70.27747364
-165,-70,74.12444706
-165,-68,89.05485808
-165,-66,105.0301952
-165,-64,111.5941193
-165,-62,97.20477261
-165,-60,94.12935391
-165,-58,95.54230533
