No,Lon,Lat,Month,MLD,Temp_WOA,Sal_WOA,DO_WOA,Si_WOA,NO3_WOA,PO4_WOA,Chla,GPP,CR,NCP,NCP_corr
33,-21,46,5,58,13.48089027,35.65168762,274.0427856,1.622959733,4.618220329,0.326423854,0.820405230318245,194,124.041666666667,69.9583333333333,88.9413535333333
34,-21,59,5,85,8.841890335,35.17918777,292.6123962,4.69050169,9.5536623,0.545012891,0.648958128926001,92.625,74.7,17.925,31.82444291
35,-22,22,5,27,22.23340034,36.81871033,221.7515106,0.846493542,0.115922228,0.012165815,0.157191379115595,131.775,40.68,91.095,101.760122
36,-22,33,5,44,19.03269005,36.42961121,236.8241119,0.747130632,0.031494588,0.047194239,0.0826768076853358,564.295,197.05,367.245,430.4410009
37,-22,59,5,165,9.112909317,35.19470978,289.6466675,4.760936737,9.352959633,0.515472054,0.678900441361798,114.225,49.3,64.925,74.326910275
38,-23,27,5,27,20.92401028,36.957889555,226.78571315,0.647551775,0.0008891145,0.0397457685,0.0701422785675665,61,76.825,-15.825,5.818998045
39,-23,35,5,32,18.29310036,36.2358017,241.7293396,0.830587566,0.244007379,0.076206774,0.0996733638430722,72.55,47.13,25.42,37.77175561
40,-23,59,5,17,8.867390633,35.16870117,291.7501221,5.309737682,9.969104767,0.611432195,0.665301517044243,81.975,27.8,54.175,58.97816264
41,-24,27,5,33,20.96471024,36.96249008,226.4560699,0.668180466,0.000658827,0.044815678,0.0644371754745817,30.425,75.45,-45.025,-22.78947937
42,-24,6,5,24,28.07959938,35.50658798,203.5087433,3.726230145,0.464770913,0.058358803,0.143584774709061,139.05,113.475,25.575,48.85087974
43,-25,-1,5,21,28.14960861,35.72891235,202.629837,2.270687342,0.35089159,0.046675615,0.13872132875156,49.445,81.32,-31.875,-15.96055724
44,-25,-11,5,53,27.72130013,36.58840179,194.8188324,1.403492689,0.065608434,0.020204833,0.0543416149434988,11.9255,104.4475,-92.522,-63.60498651
45,-25,-13,5,50,27.51609993,36.7177124,194.9411469,1.648002267,0.029344045,0.01743984,0.0438196466642034,-47.045,38.735,-85.78,-74.59912079
46,-25,-17,5,79,26.58470917,37.15031052,199.8911743,1.682878733,0.09708748,0.114136994,0.035712598561587,56.54,66.91,-10.37,8.582620362
47,-25,-22,5,68,25.63659096,37.06638718,204.3204346,1.614611149,0.090700768,0.132517725,0.0435773191200188,95.288,159.131,-63.843,-13.70651414
48,-25,-25,5,54,25.06950951,36.83991241,205.9538116,1.312645316,0.10860119,0.116770849,0.0555070197558281,23.505,32.515,-9.01,-0.268013011
49,-26,-27,5,53,24.31240082,36.53318787,210.9189301,0.7616539,0.125985831,0.132184759,0.0706712468826806,33.3545,62.87,-29.5155,-11.60095894
50,-26,-5,5,33,28.31430054,35.92089844,199.275589,0.686082006,0.981154323,0.06194469,0.119674560564913,101.71,102.64,-0.93,21.51782246
51,-26,-9,5,52,28.14719009,36.28248978,196.1087341,0.795170009,0.269373357,0.054677881,0.0710944659158326,114.77,138.2,-23.43,15.08917865
52,-26,1,5,32,28.40560913,35.51398849,203.6988068,2.804164648,0.331295729,0.045575667,0.142190082434412,303.32,634.64,-331.32,-200.2028819
53,-28,7,5,27,27.35280991,35.95238876,209.471817,1.405130386,0.703857601,0.055314317,0.129556394677762,50.195,46.46,3.735,12.43229562
54,-30,-6,5,41,28.59150887,35.96088791,195.9323578,1.770626187,2.23568964,0.083588183,0.102756510908056,43.5,95.6,-52.1,-22.9988301
55,-30,11,5,50,25.66209984,36.13381195,214.9494324,0.277843177,0.419283241,0.058880877,0.119206841316139,51.1,69.78,-18.68,-3.022541018
56,-31,14,5,38,24.2989006,36.38258743,221.2498169,0.884504199,0.30995363,0.01495269,0.102519222366357,54.16,46.68,7.48,20.36288804
57,-32,-33,5,67,20.52420044,35.78531265,227.504425,0.678782821,0.035668734,0.066377081,0.11142762921402,23.4,25.61,-2.21,5.022950763
58,-33,18,5,25,24.08798981,36.90208817,222.1364288,1.849340439,0.088380694,0.001652537,0.0799083390888589,64.64,59.44,5.2,22.51319129
59,-33,31,5,22,21.08078957,36.69901276,228.3283997,0.748580754,0.003065113,0.027277987,0.0580650810969242,29.65,76.06,-46.41,-26.87310095
60,-34,-35,5,53,19.29200935,35.69750977,225.9783325,2.310717106,0.003573101,0.023618666,0.126914696059903,28.1305,133.494,-105.3635,-68.97716841
61,-34,22,5,32,23.83910942,37.22471237,220.3526611,0.888133764,0.001493315,0.003712216,0.0567035410956245,48.35,56.87,-8.52,8.964816348
62,-36,25,5,35,22.99720001,37.23690033,227.3779449,0.686465204,0.021550948,0.028123273,0.035971580691396,15.81,18.43,-2.62,2.955500287
63,-37,-23,5,63,26.41110039,36.94608688,196.3861694,1.076946259,0.560721934,0.16701749,0.0835006943364677,108.9,364.05,-255.15,-166.799067
64,-37,29,5,45,22.01210022,36.95479965,223.8076477,0.689989448,0.041392542,0.028414452,0.0418676814467412,23.57,32.995,-9.425,0.580998681
65,-38,-38,5,66,17.75780869,35.54808807,243.6859436,2.454874754,0.075176775,0.231840312,0.228481250744291,38.2655,27.76,10.5055,16.97729188
66,-39,-39,5,108,17.23700905,35.40091324,247.2713318,2.139750481,0.199083462,0.274903148,0.271301439957835,71.55,77.62,-6.07,12.51241509
67,-42,-42,5,67,15.48849964,34.97739029,251.5527954,1.617076159,0.826872706,0.393333495,0.357536730405531,95.07,37.965,57.105,63.98278962
68,-42,-45,5,77,12.29539013,34.62759018,257.1592102,2.037295818,2.562124014,0.423125803,0.320759573330482,39.886,17.612,22.274,26.20588734
69,-43,-30,5,76,23.30620003,36.57909012,216.0155029,6.226223469,1.050154567,0.128587872,0.115251637581322,75.6,55.2,20.4,35.01251619
70,-43,-42,5,67,15.48849964,34.97739029,251.5527954,1.617076159,0.826872706,0.393333495,0.386435121167124,87.3325,85.6065,1.726,19.43705863
71,-46,-44,5,68,13.40090942,34.68828964,257.7199097,1.644441605,2.900107145,0.531931698,0.374902656552387,31.3735,66.106,-34.7325,-20.77805241
72,0,78,5,28,0.636889994,34.41069031,380.4230347,5.025043964,5.27820015,0.598194599,0.594977971861714,16.7,32,-15.3,-4.438577495
73,10,38,5,16,18.57868958,37.65488815,238.603653,0.472311169,0.086735792,0.042131703,0.141956718660325,47.75,101.25,-53.5,-31.50932839
74,112,19,5,14,27.97779083,34.01511002,203.2022705,1.444569707,0.604298651,0.187042102,0.106223529803823,38.88,80.705,-41.825,-26.25993848
75,114,20,5,14,26.65270996,33.96471024,208.3901215,1.702003002,0.581855476,0.311177611,0.11724586021264,126.05,81.25,44.8,58.91763381
76,115,18,5,19,28.0471096,34.01678848,203.2761688,2.520157337,0.514119864,0.22390461,0.095718241912144,45.65,144.625,-98.975,-69.09876724
77,116,18,5,11,28.56129074,33.96761322,199.5882568,2.881043196,0.49998346,0.18695429,0.0910867320711327,47.35,108,-60.65,-36.90477814
78,118,22,5,20,26.45119095,34.00698853,207.29599,4.071483612,0.165133268,0.293685943,0.331381249116265,76.6,62.325,14.275,25.85389909
79,144,-12,5,31,27.31380081,34.45331192,204.2427368,3.559537649,0.210852057,0.114338115,0.142934159577241,73.5,67.905,5.595,20.42563485
80,15,36,5,21,18.72239113,37.94779968,227.8107605,0.034811042,1.012490153,0.10477075,0.159194974213886,55.25,150.025,-94.775,-58.65627428
81,17,35,5,17,19.21319962,38.35528946,222.2254486,0.959011734,1.33838439,0.124925524,0.0939977024164465,95.05,123.95,-28.9,1.31596607
82,18,36,5,16,19.26250076,38.42191315,223.7045593,2.366017342,1.266055822,0.129169643,0.0957470478283034,106.5,11.55,94.95,97.50773646
83,21,34,5,19,19.59130859,38.53020096,228.7101898,0.965896368,1.495335102,0.125193685,0.0844147590571764,86.85,252.9,-166.05,-100.1016357
84,22,34,5,23,19.4874897,38.63468933,231.8010712,0.99680239,1.255679727,0.111246973,0.0862651961741217,88,194.775,-106.775,-58.04550527
85,26,36,5,20,19.12170982,39.1409111,227.2661896,0.829246223,0.281538725,0.08662001,0.107340481824273,60.3,153.1,-92.8,-56.95938968
86,27,32,5,19,20.16149139,38.75170135,229.8887177,1.236764073,0.044454761,0.074447587,0.0698099810444908,38.5,80.3,-41.8,-18.82806178
87,28,35,5,11,20.12769127,39.04571152,222.1842499,0.814309299,0,0.123802312,0.103468770923757,80.25,63,17.25,31.94226335
88,-10,48,6,16,14.98970032,35.52398682,263.6420593,0.699088991,0.81489104,0.152387887,0.890076629773915,326.69,85.765,240.925,254.3467291
89,-14,47,6,31,15.3457098,35.61398697,262.9996948,0.542211056,0.684427738,0.132367536,0.553931076646025,62.4645,50.3135,12.151,22.2378179
90,-15,61,6,53,10.70709038,35.23308945,294.8059692,1.441877246,4.613577843,0.439886212,0.926527299248336,219.5,148.275,71.225,91.28297379
91,-158,22,6,39,25.45839119,35.04560089,210.1986237,0.830374479,0.045194995,0.085679263,0.0566399816794005,50.10625,63.60625,-13.5,4.220743807
92,-16,46,6,17,15.33830929,35.61828995,265.8540955,0.591991901,0.629951119,0.11431352,0.533354394856775,64.175,33.7,30.475,36.86288638
93,-16,47,6,16,15.34070921,35.61714554,265.1968689,0.5839529035,0.6376257835,0.11852755,0.626045413925285,73.4625,95.45,-21.9875,-5.5941949155
94,-16,55,6,31,12.10220909,35.35978699,276.3346252,0.961072743,4.367171288,0.303729981,0.542662464844727,88.2,93.075,-4.875,8.86638445
95,-17,46,6,31,15.70769024,35.65158844,261.8902283,0.643288136,0.346000582,0.096287251,0.569841017216793,51.4125,80.8875,-29.475,-15.75830841
96,-17,47,6,25,14.97354984,35.591400145,270.68186955,0.53963083,1.0502822995,0.1310021875,0.629340473213914,137.975,113.2125,24.7625,43.23865944
97,-18,36,6,27,18.99009132,36.17831039,243.2985535,1.331423283,0.064562842,0.051698837,0.0864656923872511,27.39,96.715,-69.325,-43.97030852
98,-18,41,6,12,17.55649948,35.89011002,248.7301331,0.856882811,0.025789943,0.042620089,0.221563495586664,85.58,87.19,-1.61,18.50880643
99,-18,48,6,25,14.97020912,35.59318924,271.1217957,0.538041174,1.077823997,0.127796426,0.711941718510543,140.4,67.125,73.275,84.14566043
100,-20,24,6,27,22.59939003,36.95488739,230.286499,1.775787115,0.020372566,0.103269473,0.101959727159892,84.66,199.4,-114.74,-57.97283475
101,-20,44,6,19,16.03109932,35.70571136,259.7659912,0.613044024,0.344452798,0.074749216,0.447328055223003,118.247,88.076,30.171,45.01868331
102,-20,59,6,35,10.44249058,35.15241241,293.8476868,1.705261946,5.820326805,0.370984435,0.740750491401257,131.35,74.15,57.2,68.22194329
103,-20,9,6,16,28.31369019,35.80270004,204.9960938,1.644635558,0.304421872,0.138061374,0.16904946926393,28.75,81.75,-53,-37.9912159
104,-21,40,6,15,17.98589134,35.97491074,246.5020447,0.703104436,0.047382079,0.069165133,0.163258768737926,82.288,54.3025,27.9855,40.0164854
105,-23,61,6,13,9.887200356,35.13241196,301.4631348,1.79704082,6.527387142,0.394621879,1.02449176996423,88.65,47.675,40.975,49.94707756
106,-27,29,6,19,22.45248985,37.00128937,224.0928192,1.443315744,0.287147343,0.058551468,0.0449240405646245,65.231,85.457,-20.226,1.174979937
107,-27,41,6,14,17.88040924,35.93861008,243.7454529,0.58034575,0.145083591,0.045308199,0.181467307295803,103.525,67.3,36.225,51.87921617
108,-3,78,6,31,0.93700999,33.85100174,374.9361572,5.587644577,3.019305706,0.543539703,0.570300071007171,231.42,253.1,-21.68,51.54974579
109,-33,24,6,33,24.16761017,37.41308975,215.1203918,0.508220673,0.355146945,0.023973383,0.0490592925520668,69.487,76.403,-6.916,16.12069742
110,-34,37,6,15,20.3386898,36.25498962,233.3765564,0.444853514,0.008425096,0.039092466,0.110197207285908,58.675,59.265,-0.59,12.51908489
111,-36,21,6,25,24.90610886,37.21081161,218.8497314,0.209962413,0.03287559,0.013337657,0.0539545410841006,99.6725,93.312,6.3605,32.60705368
